"","sudan.rume","gesha","sl28","sl34","castillo","sidra","gesha.1931","heirloom","catuai","bourbon","typica","caturra","colombia","villalobos","pacamara","landraces","pacas","red.bourbon","red.catuai","pink.bourbon","catimor","blend","illubabor.forest","various","java","ruiru.11","baitan","marsellesa","maracaturra","arusha","mundo.novo","yellow.bourbon","cherry","honeysuckle","orange","pineapple","floral","peach","blueberry","currant","mango","jasmine","honeydew","strawberry","caramel","kiwi","tropical.fruits","berry","dried.fruit","citrus","vanilla","honey","hazelnut","blackberry","lavender","grape","heavy","cantaloupe","complex","cocoa","dates","pecans","grapefruit","lemon","cranberry","dark.chocolate","red.grape","candied.sweetness","white.cherry","bergamot","fig","plum","almond","lime","spice","watermelon","nectarine","hops","lychee","shortbread.cookie","chocolate","custard","fruity","chocolate.fudge","molasses","cinnamon","sweet","black.tea","rich","full.bodied","milk.chocolate","orange.peel","pomelo","dark.honey","smooth","pomegranate","lemongrass","papaya","pear","apple","sugar.cane","syrup","mixed.berry","maple","raspberry","cola","baker.s.chocolate","nutty","tangerine","brown.sugar","yuzu","tropical.fruit","earl.grey","graham.cracker","raisin","clove","jammy","red.berries","tomato","round","apricot","juicy","nougat","red.wine","raw.sugar","dark.cherry","fudge","black.cherry","sparkling.cider","figs","silky","ripe.fruit","berry.fruit","honeycomb","wild.berries","clementine","toffee","dried.cherry","butterscotch","toasted.marshmallow","mulled.wine","Country_Bali","Country_Brazil","Country_Brazil, Colombia","Country_Brazil, Colombia, Honduras","Country_Brazil, Ethiopia","Country_Burundi","Country_Colombia","Country_Colombia, Ethiopia, Kenya","Country_Colombia, Honduras, Guatemala","Country_Congo","Country_Costa Rica","Country_Ecuador","Country_El Salvador","Country_Ethiopia","Country_Ethiopia, Uganda","Country_Ethiopia,Sumatra, Peru","Country_Guatemala","Country_Honduras","Country_Kenya","Country_Mexico","Country_Nicaragua","Country_Panama","Country_Papua New Guinea","Country_Peru","Country_Rwanda","Country_Sumatra","Country_Uganda, Papua New Guinea, Sumatra","Country_Various","Country_NA","Process_Anaerobic Washed","Process_Honey","Process_Lactic Acid","Process_Natural","Process_Pulped Natural/Honey","Process_Various","Process_Washed","Process_NA","Roast_Dark","Roast_Light","Roast_Light-Medium","Roast_Medium","Roast_Medium-Dark","Roast_NA"
"catimor",0,0,0,0,0.353553390593274,0,0,0,0,0,0,0.21320071635561,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.447213595499958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.316227766016838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.229415733870562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120385853085769,0,0,0,0,0.196116135138184,0,0
"blend",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.353553390593274,0,0,0,0,0,0,0,0.316227766016838,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120385853085769,0,0,0,0.192450089729875,0,0,0
"illubabor.forest",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.707106781186547,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.267261241912424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120385853085769,0,0,0.188982236504614,0,0,0,0
"various",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.288675134594813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.204124145231931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666666666667,0,0.204124145231931,0,0.333333333333333,0,0,0,0,0,0.182574185835055,0,0,0,0,0,0,0,0,0,0,0,0,0,0.204124145231931,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.577350269189626,0,0,0,0,0,0,0,0,0,0,0,0,0.577350269189626,0,0,0,0,0,0.577350269189626,0.577350269189626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0.0695048046856916,0.204124145231931,0,0.109108945117996,0,0.11322770341446,0.258198889747161,0
"java",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.377964473009227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.577350269189626,0.707106781186547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.377964473009227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120385853085769,0,0,0,0.192450089729875,0,0,0
"ruiru.11",0,0,0.612372435695794,0.612372435695794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.816496580927726,0,0,0,0,0,0,0,0,0,0.235702260395516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.408248290463863,0,0.218217890235992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.577350269189626,0.577350269189626,0.577350269189626,0.577350269189626,0.577350269189626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.612372435695794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.208514414057075,0,0,0.109108945117996,0.222222222222222,0,0,0
"baitan",0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.816496580927726,1,0,0,0,0,0,0,0,0,0,0.288675134594813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.707106781186547,0.707106781186547,0.707106781186547,0,0.707106781186547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17025130615175,0,0,0.133630620956212,0.136082763487954,0,0,0
"marsellesa",0,0,0,0,0,0,0,0,0,0.208514414057075,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0.377964473009227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.316227766016838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120385853085769,0,0,0,0.192450089729875,0,0,0
"maracaturra",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0.377964473009227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.353553390593274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120385853085769,0,0,0.188982236504614,0,0,0,0
"arusha",0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.707106781186547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.120385853085769,0,0,0,0,0.196116135138184,0,0
"mundo.novo",0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.707106781186547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.120385853085769,0,0,0,0,0.196116135138184,0,0
"yellow.bourbon",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.204124145231931,0,0,0,0.25,0,0,0,0,0,0,0.408248290463863,0,0,0,0,0,0,0,0,0,0.204124145231931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.707106781186547,0,0,0,0,0,0,0,0,0.707106781186547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.308606699924184,0,0,0,0,0,0,0,0.138675049056307,0.316227766016838,0
"cherry",0.267261241912424,0.119522860933439,0.0944911182523068,0.0944911182523068,0.0944911182523068,0,0,0,0.253546276418555,0.111455642515071,0.0668153104781061,0.284901441149095,0.28347335475692,0,0.154303349962092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.188982236504614,0.0890870806374748,0,0,0,0.133630620956212,0,0.267261241912424,0.133630620956212,0,0,0.308606699924184,0,0,0,0,0,0,0,0,0.0944911182523068,0,0,0,0,0,0.231455024943138,0,0,0,0.0944911182523068,0,0.119522860933439,0,0,0,0,0.154303349962092,0.303045763365663,0.101015254455221,0,0,0,0,0,0,0,0.077151674981046,0,0,0,0,0,0.188982236504614,0,0,0,0.0845154254728517,0,0,0,0.267261241912424,0,0,0,0,0.109108945117996,0,0,0,0.267261241912424,0,0.188982236504614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.188982236504614,0,0,0,0,0,0,0,0,0,0.267261241912424,0,0,0,0,0,0,0,0.133630620956212,0,0,0,0,0.306569669742483,0,0,0,0.154303349962092,0,0.101015254455221,0,0,0,0.101015254455221,0,0.0944911182523068,0.133630620956212,0,0.218217890235992,0,0,0,0,0,0,0.0890870806374748,0,0.133630620956212,0,0.291605921759902,0,0,0.225221308230725,0.0944911182523068,0,0.202030508910442,0.051434449987364,0.26207120918048,0.119522860933439,0.179284291400159
"honeysuckle",0.707106781186547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.707106781186547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.188982236504614,1,0.235702260395516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.707106781186547,0.707106781186547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.162221421130763,0,0,0,0,0,0,0.188982236504614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.154303349962092,0,0,0.0851256530758748,0,0,0,0.272165526975909,0,0,0
"orange",0.333333333333333,0,0,0,0.117851130197758,0,0,0,0.105409255338946,0.208514414057075,0.166666666666667,0.284267621807481,0.117851130197758,0,0,0,0.333333333333333,0.166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0890870806374748,0.235702260395516,1,0,0,0.125988157669742,0,0,0,0,0,0,0,0,0,0,0,0,0,0.251976315339485,0.166666666666667,0.117851130197758,0,0,0,0,0,0.0962250448649376,0.333333333333333,0.333333333333333,0,0,0,0,0,0,0,0,0.192450089729875,0,0,0,0,0,0,0,0.333333333333333,0,0.0962250448649376,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0.136082763487954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0.229415733870562,0,0,0,0,0,0,0,0,0,0.125988157669742,0.235702260395516,0,0,0,0.272165526975909,0,0,0.235702260395516,0,0,0,0.111111111111111,0,0.166666666666667,0,0.145478593490662,0,0,0.240771706171538,0,0,0.125988157669742,0.192450089729875,0.196116135138184,0,0.074535599249993
"pineapple",0,0.316227766016838,0,0,0,0,0,0,0,0.147441956154897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.288675134594813,0.267261241912424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.707106781186547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.707106781186547,0,0,0,0,0,0,0.267261241912424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17025130615175,0,0,0.133630620956212,0,0.138675049056307,0,0
"floral",0,0.182574185835055,0.144337567297406,0.144337567297406,0,0,0,0.258198889747161,0,0,0,0,0,0,0,0,0,0,0,0.408248290463863,0,0,0,0,0,0.235702260395516,0.288675134594813,0,0,0,0,0,0,0,0,0.288675134594813,1,0.308606699924184,0,0,0,0,0,0,0,0,0,0,0,0.272165526975909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.365148371670111,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666666666667,0,0,0,0,0.408248290463863,0.408248290463863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.408248290463863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0936585811581694,0,0,0,0,0,0,0.327326835353989,0,0,0.154303349962092,0,0.144337567297406,0,0,0,0,0,0,0,0,0,0,0.408248290463863,0,0,0,0,0,0.245736593591495,0,0,0.308606699924184,0.157134840263677,0,0,0
"peach",0,0.338061701891407,0,0,0,0,0,0.239045721866879,0,0,0,0.080582296402538,0.133630620956212,0,0,0,0,0.188982236504614,0,0,0,0,0,0,0.377964473009227,0,0,0,0,0,0,0,0,0,0.125988157669742,0.267261241912424,0.308606699924184,1,0,0,0,0.188982236504614,0,0,0,0,0,0,0,0.125988157669742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.308606699924184,0,0,0,0,0,0,0,0,0,0,0.377964473009227,0.154303349962092,0,0,0,0,0,0,0,0.188982236504614,0,0,0,0,0.377964473009227,0.218217890235992,0.218217890235992,0.267261241912424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.086710996952412,0,0,0,0,0,0.142857142857143,0.202030508910442,0,0,0.285714285714286,0,0,0,0,0.154303349962092,0,0,0,0,0,0,0,0,0.188982236504614,0,0,0,0,0.273009453115974,0,0,0.285714285714286,0.145478593490662,0.0741249316661101,0,0
"blueberry",0,0,0.176776695296637,0.176776695296637,0,0,0,0.158113883008419,0,0,0,0.106600358177805,0,0,0,0,0,0,0,0,0,0,0,0.288675134594813,0,0,0,0,0,0,0,0,0.133630620956212,0,0,0,0,0,1,0.25,0,0,0,0,0.144337567297406,0,0,0,0,0,0,0.188982236504614,0.25,0,0,0,0,0,0,0.144337567297406,0,0,0,0.176776695296637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.288675134594813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.114707866935281,0,0,0,0,0,0,0.133630620956212,0.5,0,0,0,0.176776695296637,0,0,0,0,0,0,0,0,0,0,0,0,0,0.109108945117996,0,0.288675134594813,0.120385853085769,0,0,0.188982236504614,0,0.098058067569092,0,0.111803398874989
"currant",0,0,0.530330085889911,0.530330085889911,0,0,0,0,0,0.104257207028537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,1,0,0,0,0,0,0,0,0,0,0,0,0.188982236504614,0,0.176776695296637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.353553390593274,0,0,0,0,0,0,0,0,0.288675134594813,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0.530330085889911,0,0,0,0,0,0,0,0,0,0,0,0,0,0.109108945117996,0,0,0.180578779628654,0,0,0,0.288675134594813,0,0,0.111803398874989
"mango",0,0.447213595499958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.267261241912424,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.408248290463863,0,0,0,0,0,0,0,0,0,0,0.218217890235992,0,0,0,0,0,0,0,0,0,0.223606797749979
"jasmine",0,0.670820393249937,0,0,0,0,0,0.158113883008419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133630620956212,0,0,0,0,0.188982236504614,0,0,0.5,1,0,0.204124145231932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.353553390593274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.204124145231932,0,0,0,0,0,0,0,0,0,0,0,0.204124145231932,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.288675134594813,0,0,0.133630620956212,0,0,0,0,0,0,0,0.408248290463863,0,0,0,0,0,0,0,0,0.25,0,0.218217890235992,0,0,0.0601929265428846,0,0,0.188982236504614,0,0,0,0.223606797749979
"honeydew",0,0,0,0,0.353553390593274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.408248290463863,0.288675134594813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.229415733870562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.188982236504614,0,0,0,0
"strawberry",0,0,0,0,0.144337567297406,0,0,0.258198889747161,0.129099444873581,0.0851256530758749,0.102062072615966,0,0.144337567297406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.204124145231932,0.408248290463863,1,0.235702260395516,0,0,0,0,0,0.154303349962092,0,0,0,0,0.204124145231932,0.288675134594813,0.408248290463863,0.408248290463863,0,0,0,0.235702260395516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.144337567297406,0,0,0,0,0,0.408248290463863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.408248290463863,0,0,0,0,0,0.187317162316339,0,0,0,0,0,0,0.218217890235992,0,0,0,0,0,0,0,0.166666666666667,0,0,0,0,0,0,0,0,0,0.408248290463863,0.445435403187374,0,0,0,0,0,0.231455024943138,0.157134840263677,0,0,0.0912870929175277
"caramel",0,0,0,0,0.306186217847897,0,0,0,0,0.120385853085769,0,0.307728727448332,0.306186217847897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.308606699924184,0,0,0,0,0,0.144337567297406,0,0,0,0.288675134594813,0.235702260395516,1,0,0,0,0,0,0,0.109108945117996,0,0.102062072615966,0,0.144337567297406,0.204124145231931,0,0,0.166666666666667,0,0,0.166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.204124145231931,0,0,0,0,0,0,0,0.0912870929175277,0,0,0,0.288675134594813,0,0,0,0,0,0,0,0,0,0.102062072615966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.204124145231931,0,0,0,0,0,0,0.288675134594813,0.204124145231931,0,0,0,0,0,0,0,0,0.288675134594813,0.288675134594813,0,0.463586324972765,0,0,0,0,0,0,0,0,0,0.109108945117996,0,0,0,0,0,0,0,0,0,0,0,0.192450089729875,0,0,0.288675134594813,0.0629940788348712,0,0,0.208514414057075,0.408248290463863,0,0.109108945117996,0.111111111111111,0.283069258536149,0.129099444873581,0.129099444873581
"kiwi",0,0,0,0,0,0.707106781186547,0,0,0,0,0,0,0,0,0,0,0,0.353553390593274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.707106781186547,0.707106781186547,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.288675134594813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.353553390593274,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17025130615175,0,0,0.133630620956212,0,0,0,0.158113883008419
"tropical.fruits",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.707106781186547,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.707106781186547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120385853085769,0,0,0.188982236504614,0,0,0,0
