"","sudan.rume","gesha","sl28","sl34","castillo","sidra","gesha.1931","heirloom","catuai","bourbon","typica","caturra","colombia","villalobos","pacamara","landraces","pacas","red.bourbon","red.catuai","pink.bourbon","catimor","blend","illubabor.forest","various","java","ruiru.11","baitan","marsellesa","maracaturra","arusha","mundo.novo","yellow.bourbon","cherry","honeysuckle","orange","pineapple","floral","peach","blueberry","currant","mango","jasmine","honeydew","strawberry","caramel","kiwi","tropical.fruits","berry","dried.fruit","citrus","vanilla","honey","hazelnut","blackberry","lavender","grape","heavy","cantaloupe","complex","cocoa","dates","pecans","grapefruit","lemon","cranberry","dark.chocolate","red.grape","candied.sweetness","white.cherry","bergamot","fig","plum","almond","lime","spice","watermelon","nectarine","hops","lychee","shortbread.cookie","chocolate","custard","fruity","chocolate.fudge","molasses","cinnamon","sweet","black.tea","rich","full.bodied","milk.chocolate","orange.peel","pomelo","dark.honey","smooth","pomegranate","lemongrass","papaya","pear","apple","sugar.cane","syrup","mixed.berry","maple","raspberry","cola","baker.s.chocolate","nutty","tangerine","brown.sugar","yuzu","tropical.fruit","earl.grey","graham.cracker","raisin","clove","jammy","red.berries","tomato","round","apricot","juicy","nougat","red.wine","raw.sugar","dark.cherry","fudge","black.cherry","sparkling.cider","figs","silky","ripe.fruit","berry.fruit","honeycomb","wild.berries","clementine","toffee","dried.cherry","butterscotch","toasted.marshmallow","mulled.wine","Country_Bali","Country_Brazil","Country_Brazil, Colombia","Country_Brazil, Colombia, Honduras","Country_Brazil, Ethiopia","Country_Burundi","Country_Colombia","Country_Colombia, Ethiopia, Kenya","Country_Colombia, Honduras, Guatemala","Country_Congo","Country_Costa Rica","Country_Ecuador","Country_El Salvador","Country_Ethiopia","Country_Ethiopia, Uganda","Country_Ethiopia,Sumatra, Peru","Country_Guatemala","Country_Honduras","Country_Kenya","Country_Mexico","Country_Nicaragua","Country_Panama","Country_Papua New Guinea","Country_Peru","Country_Rwanda","Country_Sumatra","Country_Uganda, Papua New Guinea, Sumatra","Country_Various","Country_NA","Process_Anaerobic Washed","Process_Honey","Process_Lactic Acid","Process_Natural","Process_Pulped Natural/Honey","Process_Various","Process_Washed","Process_NA","Roast_Dark","Roast_Light","Roast_Light-Medium","Roast_Medium","Roast_Medium-Dark","Roast_NA"
"typica",0,0,0,0,0.176776695296637,0,0,0,0.158113883008419,0.469157431628418,1,0.426401432711221,0.176776695296637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.25,0.25,0,0.0668153104781061,0,0.166666666666667,0,0,0,0,0,0,0,0,0.102062072615966,0,0,0,0,0.306186217847897,0.0833333333333333,0.188982236504614,0,0.25,0.176776695296637,0,0,0,0.25,0.25,0.21650635094611,0.25,0.25,0,0,0.176776695296637,0.111803398874989,0,0,0,0,0,0,0.377964473009227,0,0,0,0,0,0,0.25,0,0,0.0883883476483184,0,0,0,0,0,0,0,0.237170824512628,0,0,0,0,0.25,0.25,0.176776695296637,0,0.204124145231932,0.25,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0.144337567297406,0,0,0,0,0,0,0,0,0.25,0.353553390593274,0,0.25,0.176776695296637,0.25,0,0,0,0,0,0,0,0,0.25,0,0,0.25,0.25,0,0,0,0,0,0.286769667338202,0,0,0,0,0.176776695296637,0,0,0,0,0,0,0,0.5,0,0.102062072615966,0.25,0.433012701892219,0,0,0,0,0,0,0,0,0.109108945117996,0,0,0.421350485800192,0,0,0.14173667737846,0.240562612162344,0.147087101353638,0,0.279508497187474
"caturra",0,0,0,0,0.527644853011086,0,0,0,0.269679944985297,0.35564337957951,0.426401432711221,1,0.452267016866645,0.21320071635561,0,0,0,0,0,0,0.21320071635561,0,0,0,0,0,0,0,0,0,0,0,0.284901441149095,0,0.284267621807481,0,0,0.080582296402538,0.106600358177805,0,0,0,0,0,0.307728727448332,0,0,0,0.174077655955698,0,0.080582296402538,0.241746889207614,0.21320071635561,0,0,0,0,0,0,0.307728727448332,0.21320071635561,0.21320071635561,0,0.150755672288882,0.150755672288882,0.190692517849118,0,0,0,0,0,0.080582296402538,0.322329185610152,0.0953462589245592,0,0,0,0,0,0,0.123091490979333,0,0.0753778361444409,0,0.123091490979333,0,0,0.0870388279778489,0,0,0.202259958738973,0,0,0,0.21320071635561,0,0,0.301511344577764,0.21320071635561,0.174077655955698,0.21320071635561,0,0,0,0,0,0,0,0,0,0,0,0,0,0.123091490979333,0,0,0,0,0,0,0,0,0,0.150755672288882,0,0,0,0.21320071635561,0,0,0,0,0,0.21320071635561,0.150755672288882,0,0.21320071635561,0.21320071635561,0,0.21320071635561,0,0,0.21320071635561,0,0,0,0.635850784457874,0,0,0,0,0.150755672288882,0,0,0,0,0.080582296402538,0,0,0,0,0.174077655955698,0,0.246182981958665,0,0,0,0,0.14213381090374,0,0.106600358177805,0,0.0930484210398471,0,0,0.461994302105411,0.0753778361444409,0,0.161164592805076,0.164121987972444,0.334496804002836,0.0953462589245592,0.238365647311398
"colombia",0,0,0,0,0.5,0,0,0,0.111803398874989,0.0737209780774486,0.176776695296637,0.452267016866645,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28347335475692,0,0.117851130197758,0,0,0.133630620956212,0,0,0,0,0,0.144337567297406,0.306186217847897,0,0,0,0.288675134594813,0,0,0,0,0,0,0,0,0,0,0,0,0,0.204124145231931,0,0,0.158113883008419,0,0,0,0,0,0.133630620956212,0.267261241912424,0,0,0,0,0,0,0,0,0,0,0,0.204124145231931,0,0,0,0,0,0.111803398874989,0,0,0,0.353553390593274,0,0,0,0.353553390593274,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.353553390593274,0,0,0,0.567774973957669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.176776695296637,0,0.077151674981046,0,0,0.255376959227625,0,0,0.0668153104781061,0.0680413817439772,0.208012573584461,0.158113883008419,0.158113883008419
"villalobos",0,0,0,0,0,0,0,0,0,0,0,0.21320071635561,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.353553390593274,0.707106781186547,0.447213595499958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.229415733870562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120385853085769,0,0,0,0.192450089729875,0,0,0
"pacamara",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.154303349962092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.204124145231931,0,0.258198889747161,0,0,0,0,0.333333333333333,0.218217890235992,0.218217890235992,0.258198889747161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.235702260395516,0,0,0,0,0.204124145231931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.654653670707977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.251976315339485,0,0,0.0695048046856916,0,0,0.218217890235992,0.111111111111111,0,0,0
"landraces",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.707106781186547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.267261241912424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120385853085769,0,0,0,0.192450089729875,0,0,0
"pacas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.353553390593274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.707106781186547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120385853085769,0,0,0.188982236504614,0,0,0,0
"red.bourbon",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666666666667,0,0,0.188982236504614,0,0,0,0,0,0,0,0.353553390593274,0,0,0,0,0,0,0,0,0.353553390593274,0,0,0,0,0.144337567297406,0,0,0,0.176776695296637,0,0,0,0,0,0,0.288675134594813,0.188982236504614,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.408248290463863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.188982236504614,0,0,0,0,0,0,0,0,0,0,0,0.353553390593274,0,0,0,0,0,0,0,0,0,0,0.240771706171538,0,0,0,0.192450089729875,0,0,0.223606797749979
"red.catuai",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.577350269189626,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.218217890235992,0,0,0,0,0,0,0,0,0,0.223606797749979
"pink.bourbon",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.408248290463863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.229415733870562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.188982236504614,0,0,0,0
